CPU,RAM,RAM_Type,GPU,Storage,Screen,Price,Brand
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3080,512GB,1440p,1940,Dell
Intel Core i3-1115G4,8GB,DDR3,RTX 2060,512GB,1080p,620,HP
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1050Ti,512GB,1080p,620,Acer
Intel Core i5-10300H,16GB,DDR3,GTX 1050Ti,256GB,1080p,550,Dell
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4050,512GB,1080p,1740,ASUS
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1660Ti,512GB,1440p,1040,Dell
Intel Core i7-13620H,16GB,DDR4,RTX 2070,512GB,1080p,960,Dell
AMD Ryzen 3 5300U,4GB,DDR4,GTX 1650,256GB,1080p,630,Lenovo
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 4070,1TB,1440p,1820,MSI
Intel Core i7-12700H,16GB,DDR4,RTX 4060,512GB,1440p,1290,Lenovo
Intel Core i5-11400H,8GB,DDR4,RTX 2060,512GB,1080p,690,HP
Intel Core i7-11800H,32GB,DDR4,GTX 1050Ti,512GB,1080p,960,MSI
Intel Core i7-13620H,16GB,DDR5,GTX 1660,512GB,1080p,1160,MSI
Intel Core i9-12900H,32GB,DDR4,RTX 4090,1TB,4K,2770,MSI
Intel Core i9-13900H,16GB,DDR5,RTX 3050Ti,512GB,1440p,1570,Lenovo
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4070,2TB,1440p,1830,Dell
Intel Core i7-13620H,32GB,DDR4,RTX 2060,1TB,1080p,1200,Gigabyte
Intel Core i7-12700H,32GB,DDR4,RTX 3050Ti,1TB,1080p,1110,Gigabyte
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1050Ti,512GB,1440p,820,Dell
AMD Ryzen 9 7940HS,32GB,DDR4,RTX 4060,1TB,4K,2070,Dell
AMD Ryzen 7 7730U,32GB,DDR5,RTX 4070,512GB,4K,2390,MSI
AMD Ryzen 7 5800H,32GB,DDR5,RTX 4060,512GB,1080p,1320,Lenovo
Intel Core i3-1115G4,8GB,DDR3,RTX 3060,512GB,1080p,710,Gigabyte
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1650,512GB,1080p,650,Lenovo
Intel Core i7-12700H,64GB,DDR4,RTX 3050Ti,512GB,1080p,1560,ASUS
Intel Core i9-12900H,16GB,DDR4,RTX 3050Ti,1TB,1080p,1260,MSI
Intel Core i5-11400H,32GB,DDR3,RTX 2070,512GB,1080p,1050,MSI
AMD Ryzen 3 3250U,16GB,DDR4,GTX 1050Ti,256GB,1080p,580,Dell
AMD Ryzen 3 5300U,8GB,DDR4,RTX 3060,256GB,1080p,820,Dell
Intel Core i5-11400H,16GB,DDR4,RTX 2060,512GB,1080p,720,Acer
Intel Core i7-11800H,16GB,DDR4,RTX 4050,256GB,1080p,900,Dell
AMD Ryzen 7 5800H,16GB,DDR5,GTX 1650,1TB,1440p,1380,ASUS
Intel Core i7-12700H,32GB,DDR4,GTX 1660,512GB,1080p,1040,Dell
Intel Core i9-11900H,32GB,DDR3,RTX 4080,1TB,1440p,2190,Alienware
AMD Ryzen 7 5800H,16GB,DDR4,RTX 3050,1TB,1080p,1000,Lenovo
Intel Core i9-13900H,16GB,DDR5,RTX 4080,2TB,1440p,2690,MSI
AMD Ryzen 7 5800H,32GB,DDR5,RTX 4050,256GB,1080p,1350,ASUS
Intel Core i3-1115G4,8GB,DDR4,RTX 3050Ti,512GB,1080p,840,ASUS
Intel Core i9-13900H,32GB,DDR5,RTX 2060,2TB,1080p,1490,Lenovo
AMD Ryzen 7 7730U,64GB,DDR4,GTX 1660Ti,512GB,1080p,1190,Lenovo
AMD Ryzen 3 3250U,16GB,DDR4,GTX 1660Ti,512GB,720p,580,HP
Intel Core i9-12900H,64GB,DDR5,RTX 3080,1TB,1080p,2260,MSI
AMD Ryzen 7 7730U,64GB,DDR4,GTX 1660,256GB,1080p,1330,ASUS
Intel Core i7-12700H,32GB,DDR4,GTX 1660Ti,512GB,1080p,1200,ASUS
Intel Core i9-13900H,16GB,DDR5,RTX 3080,1TB,1080p,2070,Alienware
Intel Core i7-12700H,64GB,DDR4,RTX 3060,512GB,1440p,1860,ASUS
Intel Core i7-13620H,64GB,DDR5,RTX 3050Ti,512GB,1440p,2170,ASUS
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4050,1TB,1080p,1410,Dell
Intel Core i9-11900H,16GB,DDR4,RTX 3050Ti,1TB,1440p,1320,Dell
Intel Core i9-13900H,64GB,DDR5,RTX 3060,1TB,1080p,1850,Gigabyte
Intel Core i3-1005G1,16GB,DDR4,RTX 3050Ti,512GB,1080p,740,Dell
Intel Core i7-13620H,16GB,DDR4,RTX 3050Ti,512GB,1080p,1070,ASUS
Intel Core i7-13620H,64GB,DDR5,RTX 3060,512GB,1080p,1730,ASUS
Intel Core i5-12500H,32GB,DDR5,RTX 4050,1TB,1080p,1380,Gigabyte
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3080,1TB,4K,2310,Lenovo
Intel Core i7-13620H,64GB,DDR5,GTX 1660,256GB,1080p,1340,Dell
AMD Ryzen 5 5500U,16GB,DDR4,GTX 1660Ti,512GB,1080p,760,Acer
AMD Ryzen 3 5300U,8GB,DDR4,RTX 2070,1TB,1080p,810,Dell
Intel Core i3-1005G1,8GB,DDR3,RTX 2060,512GB,1080p,540,Acer
Intel Core i5-10300H,16GB,DDR4,GTX 1660Ti,512GB,1080p,650,Acer
Intel Core i3-1005G1,16GB,DDR4,RTX 4050,256GB,720p,840,MSI
Intel Core i9-11900H,32GB,DDR4,RTX 3060,2TB,4K,1880,Lenovo
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3080,1TB,4K,2440,ASUS
AMD Ryzen 7 5800H,64GB,DDR5,GTX 1660,512GB,1080p,1450,ASUS
AMD Ryzen 3 5300U,8GB,DDR4,Integrated,256GB,720p,400,Acer
Intel Core i9-12900H,32GB,DDR4,RTX 4050,2TB,1440p,1930,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,RTX 2060,256GB,1080p,710,Dell
Intel Core i7-13620H,32GB,DDR4,RTX 3060,1TB,1080p,1280,MSI
Intel Core i9-13900H,16GB,DDR5,RTX 2070,512GB,1080p,1570,MSI
AMD Ryzen 7 7730U,64GB,DDR5,GTX 1650,512GB,1080p,1480,Dell
